filter,source_rate_hz,output_rate_hz,frequency_hz,magnitude_db,absolute_group_delay_ms,group_delay_relative_to_peak_ms
SplitPhase128kE2v3,44100,176400,17300.000,-0.00000008,2972.36627082,0.12704180
SplitPhase128kE2v3,44100,176400,17400.000,-0.00000008,2972.37100343,0.13177441
SplitPhase128kE2v3,44100,176400,17500.000,-0.00000008,2972.37596685,0.13673782
SplitPhase128kE2v3,44100,176400,17600.000,-0.00000008,2972.38117817,0.14194914
SplitPhase128kE2v3,44100,176400,17700.000,-0.00000008,2972.38665634,0.14742731
SplitPhase128kE2v3,44100,176400,17800.000,-0.00000008,2972.39241728,0.15318826
SplitPhase128kE2v3,44100,176400,17900.000,-0.00000007,2972.39849377,0.15926474
SplitPhase128kE2v3,44100,176400,18000.000,-0.00000008,2972.40490684,0.16567781
SplitPhase128kE2v3,44100,176400,18100.000,-0.00000008,2972.41168525,0.17245623
SplitPhase128kE2v3,44100,176400,18200.000,-0.00000008,2972.41886108,0.17963206
SplitPhase128kE2v3,44100,176400,18300.000,-0.00000008,2972.42647043,0.18724140
SplitPhase128kE2v3,44100,176400,18400.000,-0.00000008,2972.43455386,0.19532483
SplitPhase128kE2v3,44100,176400,18500.000,-0.00000008,2972.44314989,0.20392086
SplitPhase128kE2v3,44100,176400,18600.000,-0.00000007,2972.45232526,0.21309624
SplitPhase128kE2v3,44100,176400,18700.000,-0.00000008,2972.46213254,0.22290351
SplitPhase128kE2v3,44100,176400,18800.000,-0.00000008,2972.47264010,0.23341108
SplitPhase128kE2v3,44100,176400,18900.000,-0.00000008,2972.48392692,0.24469789
SplitPhase128kE2v3,44100,176400,19000.000,-0.00000008,2972.49608458,0.25685556
SplitPhase128kE2v3,44100,176400,19100.000,-0.00000008,2972.50922014,0.26999112
SplitPhase128kE2v3,44100,176400,19200.000,-0.00000007,2972.52344718,0.28421815
SplitPhase128kE2v3,44100,176400,19300.000,-0.00000008,2972.53893909,0.29971007
SplitPhase128kE2v3,44100,176400,19400.000,-0.00000008,2972.55586365,0.31663463
SplitPhase128kE2v3,44100,176400,19500.000,-0.00000008,2972.57443809,0.33520906
SplitPhase128kE2v3,44100,176400,19600.000,-0.00000008,2972.59492888,0.35569986
SplitPhase128kE2v3,44100,176400,19700.000,-0.00000007,2972.61766823,0.37843921
